crn,seatCapacity,seatActual,seatRemaining,waitlistCapacity,waitlistActual,waitlistRemaining
94049,24,23,1,5,0,5
55661,10,0,10,0,0,0
29372,10,0,10,0,0,0
28623,130,129,0,25,13,12
55344,10,0,10,0,0,0
85694,20,2,18,0,0,0
82660,10,0,10,0,0,0
59168,10,0,10,0,0,0
95021,24,21,3,0,0,0
21399,10,0,10,0,0,0
54744,10,0,10,0,0,0
31939,3,0,3,0,0,0
30632,20,20,0,10,1,9
59318,10,0,10,0,0,0
88809,10,0,10,0,0,0
81161,10,0,10,0,0,0
59169,10,0,10,0,0,0
28072,1,0,1,0,0,0
52847,10,0,10,0,0,0
21622,10,0,10,0,0,0
55868,10,0,10,0,0,0
95022,24,15,9,0,0,0
32675,24,14,10,5,0,5
82709,10,0,10,0,0,0
83160,10,0,10,0,0,0
23619,10,0,10,0,0,0
32382,2,0,2,0,0,0
60626,10,2,8,0,0,0
24600,10,0,10,0,0,0
59319,10,0,10,0,0,0
59987,10,1,9,0,0,0
90043,1,0,1,0,0,0
91480,0,0,0,0,0,0
85193,20,0,20,0,0,0
33414,150,85,65,5,0,5
91972,10,0,10,0,0,0
27743,10,0,10,0,0,0
30008,5,1,4,0,0,0
21133,10,0,10,0,0,0
59170,10,0,10,0,0,0
56807,10,0,10,0,0,0
92997,5,1,4,0,0,0
60726,10,2,8,0,0,0
86765,65,51,14,0,0,0
91540,10,0,10,0,0,0
29130,16,16,0,10,7,3
81619,10,0,10,0,0,0
22454,10,0,10,0,0,0
33732,5,1,4,0,0,0
59171,10,0,10,0,0,0
29373,10,0,10,0,0,0
86766,90,95,0,0,0,0
91542,10,0,10,0,0,0
54056,10,1,9,0,0,0
54979,4,0,4,0,0,0
29131,16,16,0,10,3,7
24942,10,1,9,0,0,0
81873,10,0,10,0,0,0
88989,5,0,5,0,0,0
27432,5,0,5,0,0,0
59946,10,0,10,0,0,0
93937,65,52,13,0,0,0
20431,10,2,8,0,0,0
54362,10,0,10,0,0,0
85352,10,0,10,0,0,0
58473,10,0,10,10,0,10
28208,5,0,5,0,0,0
90197,5,0,5,0,0,0
90655,103,91,12,15,0,15
23996,10,0,10,0,0,0
93938,95,89,6,0,0,0
59172,10,0,10,0,0,0
24783,10,0,10,0,0,0
81266,10,0,10,0,0,0
33867,5,0,5,0,0,0
95170,5,2,3,0,0,0
23211,10,0,10,0,0,0
