courseTerm|crn|seatCapacity|seatActual|seatRemaining|waitlistCapacity|waitlistActual|waitlistRemaining
202208|93552|24|23|1|5|0|5
202302|28843|10|0|10|0|0|0
202205|54983|1|0|1|0|0|0
202208|90777|15|12|3|0|0|0
202302|31663|5|0|5|0|0|0
202302|32417|10|0|10|0|0|0
202205|50977|10|0|10|0|0|0
202205|55651|10|0|10|0|0|0
202208|89978|16|8|8|0|0|0
202302|33124|100|0|100|25|0|25
202208|94127|24|24|0|5|0|5
202208|82951|10|0|10|0|0|0
202302|26919|8|0|8|0|0|0
202205|56894|5|0|5|0|0|0
202205|51714|10|1|9|0|0|0
202302|22605|10|0|10|0|0|0
202302|22260|10|0|10|0|0|0
202208|94521|7|0|7|0|0|0
202205|50978|10|0|10|0|0|0
202208|90176|10|0|10|0|0|0
202205|55652|10|0|10|0|0|0
202302|33911|16|0|16|5|0|5
202208|87175|10|0|10|0|0|0
202208|94128|24|22|2|5|0|5
202302|31754|15|0|15|0|0|0
202205|57665|5|1|4|0|0|0
202208|93836|8|7|1|0|0|0
202302|24426|10|0|10|0|0|0
202205|51362|20|5|15|0|0|0
202302|27815|10|0|10|0|0|0
202205|53526|10|0|10|0|0|0
202205|55653|10|1|9|0|0|0
202208|80421|10|0|10|0|0|0
202302|33912|16|0|16|5|0|5
202208|88355|10|0|10|0|0|0
202208|94129|24|23|1|5|0|5
202205|56398|10|0|10|0|0|0
202208|85552|5|6|0|10|0|10
202302|30345|5|0|5|10|0|10
202205|51205|1|0|1|0|0|0
202302|26150|10|0|10|0|0|0
202205|55418|10|0|10|0|0|0
202302|23173|10|0|10|0|0|0
202205|55654|10|0|10|0|0|0
202208|90177|10|0|10|0|0|0
202302|33913|16|0|16|5|0|5
202208|83233|10|0|10|0|0|0
202208|94203|24|19|5|5|0|5
202205|57770|10|8|2|0|0|0
202205|52834|10|0|10|0|0|0
202302|31656|5|0|5|0|0|0
202208|92324|5|3|2|0|0|0
202302|33914|16|0|16|5|0|5
202205|55655|10|0|10|0|0|0
202208|82811|10|0|10|0|0|0
202302|25031|10|0|10|0|0|0
202208|80422|10|1|9|0|0|0
202205|55299|10|0|10|10|0|10
202302|28844|10|0|10|0|0|0
202208|93789|10|10|0|0|0|0
202205|57369|10|2|8|0|0|0
202205|51462|10|0|10|0|0|0
