courseTerm,crn,seatCapacity,seatActual,seatRemaining,waitlistCapacity,waitlistActual,waitlistRemaining
202105,59326,10,0,10,0,0,0
202105,55930,10,0,10,0,0,0
202202,26201,15,0,15,0,0,0
202105,59155,10,0,10,0,0,0
202108,88989,5,0,5,0,0,0
202105,60880,5,0,5,0,0,0
202202,31939,3,0,3,0,0,0
202108,83049,10,0,10,0,0,0
202108,90104,10,0,10,0,0,0
202202,21398,10,0,10,0,0,0
202108,91928,20,20,0,10,0,10
202202,32673,25,21,4,5,0,5
202105,58118,10,0,10,0,0,0
202105,59940,10,0,10,0,0,0
202202,22506,100,15,85,0,0,0
202108,90197,5,0,5,0,0,0
202105,60743,5,0,5,0,0,0
202108,81618,10,0,10,0,0,0
202202,28072,1,0,1,0,0,0
202105,59156,10,0,10,0,0,0
202108,83558,10,7,3,0,0,0
202105,54310,10,0,10,0,0,0
202108,90579,109,103,6,15,0,15
202202,32674,30,18,12,5,0,5
202202,22743,10,0,10,0,0,0
202105,55771,10,0,10,0,0,0
202202,32367,5,0,5,0,0,0
202202,32382,2,0,2,0,0,0
202108,83172,10,0,10,0,0,0
202108,87339,15,0,15,0,0,0
202108,95170,5,2,3,0,0,0
202105,59985,10,0,10,0,0,0
202105,54957,10,0,10,0,0,0
202108,91918,16,16,0,5,0,5
202202,28623,130,129,0,25,15,10
202105,58103,10,0,10,0,0,0
202202,29368,10,0,10,0,0,0
202202,27472,10,0,10,0,0,0
202105,55195,10,1,9,0,0,0
202108,91968,10,0,10,0,0,0
202108,82881,100,15,85,0,0,0
202105,59157,10,0,10,0,0,0
202108,89040,5,0,5,0,0,0
202202,20430,10,0,10,0,0,0
202105,53740,10,0,10,0,0,0
202202,30008,5,1,4,0,0,0
202108,91919,16,16,0,5,0,5
